year,value,change,measure,color
1983,74.98,-0.91,Mean Temperature,#549aab
1984,74.57,-1.32,Mean Temperature,#549aab
1985,75.09,-0.80,Mean Temperature,#549aab
1986,75.80,-0.09,Mean Temperature,#549aab
1987,75.07,-0.82,Mean Temperature,#549aab
1988,74.93,-0.96,Mean Temperature,#549aab
1989,75.78,-0.11,Mean Temperature,#549aab
1990,76.46,0.57,Mean Temperature,#FAAB36
1991,76.41,0.52,Mean Temperature,#FAAB36
1992,75.03,-0.86,Mean Temperature,#549aab
1993,75.55,-0.34,Mean Temperature,#549aab
1994,76.59,0.70,Mean Temperature,#FAAB36
1995,75.80,-0.09,Mean Temperature,#549aab
1996,74.93,-0.96,Mean Temperature,#549aab
1997,76.64,0.75,Mean Temperature,#FAAB36
1998,76.53,0.64,Mean Temperature,#FAAB36
1999,75.07,-0.82,Mean Temperature,#549aab
2000,74.64,-1.25,Mean Temperature,#549aab
2001,74.79,-1.10,Mean Temperature,#549aab
2002,75.93,0.04,Mean Temperature,#FAAB36
2003,76.22,0.33,Mean Temperature,#FAAB36
2004,75.29,-0.60,Mean Temperature,#549aab
2005,75.31,-0.58,Mean Temperature,#549aab
2006,75.21,-0.68,Mean Temperature,#549aab
2007,75.92,0.03,Mean Temperature,#FAAB36
2008,75.33,-0.56,Mean Temperature,#549aab
2009,75.66,-0.23,Mean Temperature,#549aab
2010,73.96,-1.93,Mean Temperature,#549aab
2011,75.93,0.04,Mean Temperature,#FAAB36
2012,76.02,0.13,Mean Temperature,#FAAB36
2013,76.44,0.55,Mean Temperature,#FAAB36
2014,76.18,0.29,Mean Temperature,#FAAB36
2015,77.54,1.65,Mean Temperature,#FAAB36
2016,76.83,0.94,Mean Temperature,#FAAB36
2017,76.67,0.78,Mean Temperature,#FAAB36
2018,76.64,0.75,Mean Temperature,#FAAB36
2019,77.43,1.54,Mean Temperature,#FAAB36
2020,77.43,1.54,Mean Temperature,#FAAB36
2021,77.13,1.24,Mean Temperature,#FAAB36
2022,77.57,1.68,Mean Temperature,#FAAB36
